date	close
1-Jan-00	230.63
1-Jan-01	325.52
1-Jan-02	551.62
1-Jan-03	713.66
1-Jan-04	860.38
1-Jan-05	909.31
1-Jan-06	906.13
1-Jan-07	1070.45
1-Jan-08	1261.12
1-Jan-09	1424.07
1-Jan-10	1467.26
1-Jan-11	1895.01
1-Jan-12	2061.50
1-Jan-13	2101.78

